Comment,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula,Aula
CommentSub1,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02,Grupo02
CommentSub2,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo,solo
CommentSub3,0,0,0,0,0,0,0,0,0,45+,45+,45+,45+,45+,45+,45+,45+,70+,70+,70+,70+,70+,70+,70+,70+,70-,70-,70-,70-,70-,70-,70-,70-,70-,45-,45-,45-,45-,45-,45-,45-,45-,45-,45-
Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission,No Mission
559.9295089908,62.1381144866727,62.741184861601,62.1085581675255,61.2953545098931,60.5693015056365,59.3219641054617,58.2278741956597,59.4436308712663,60.6677888293701,57.4366353368456,58.0181457940398,58.4906420193109,59.227323152028,58.5168580695134,58.135156427376,57.159494234705,56.7907487872623,56.1235047604869,54.7919520947968,54.9425678581223,55.2232516697497,55.1833708829552,53.7571772638314,55.0205074668324,54.9260689539408,52.2897869943894,51.8116224339393,51.9297464902571,50.9482135218651,51.4158511741257,51.0391093252698,50.9779722815544,50.8747276050813,51.0483203699356,49.5471225299622,49.3547027946922,49.0242186097071,48.9805926728837,48.9937513081204,48.5251014531493,48.5658932223833,48.6957588301431,48.5759140292174,48.4205409131525
563.28327547335,61.322853817389,61.9329438729985,61.2954587542561,60.4994022116861,59.7696337233391,58.5411551075946,57.4532511588751,58.6577340988828,59.8471197595727,56.6680926523689,57.2406894646395,57.7164037361226,58.4386735758018,57.7333006911206,57.3652670145066,56.3781449038819,56.0247085966746,55.3602283427282,54.0359669880008,54.1775414748482,54.4655895656726,54.424396988991,53.0246492376747,54.2563272768509,54.1738421415054,51.5860084952683,51.0938971786983,51.1943790708464,50.2320524918164,50.6831711956692,50.3182369605046,50.2560481675533,50.1666642754335,50.3363336992895,48.8391035152922,48.656236469781,48.326195946417,48.2885027391137,48.3086990995256,47.8493818731293,47.8824759092497,47.9063716030044,47.870778017328,47.7173056745944
566.636984,59.9816765061941,60.5738522132193,59.9474935241069,59.1715595896766,58.4575699609362,57.2525704449893,56.1900329526545,57.3695434241548,58.5341358890216,55.4070845912641,55.9533207414379,56.4180512262304,57.1317444707331,56.4436390654228,56.0728623839972,55.1312496606645,54.7500007361716,54.0862976331028,52.7919876668472,52.9514423867569,53.2414049660226,53.1846967818664,51.8122401715906,53.0204011194068,52.9335605377459,50.3604513803437,49.9115280548979,50.0054818582647,49.0474692071098,49.4896744898333,49.1575265540611,49.0729582515563,48.9899706649863,49.164738570513,47.6959570829684,47.4992567438481,47.1802485092829,47.1358896683662,47.1469546799089,46.7108746714323,46.7435757323308,46.8436548099444,46.7213469144995,46.5696969795172
569.99062320465,58.7055416579358,59.2769800816178,58.6699854893511,57.8992762307441,57.2126709862892,56.0476203744506,55.0146355316407,56.1351432509666,57.2866160951314,54.1930340647023,54.7419079967825,55.1785455615447,55.8718908489456,55.1950537826733,54.8231792392617,53.9132734415526,53.538077717559,52.8871263234706,51.6425627412256,51.7826384163641,52.0675761739505,52.0027154708181,50.6808855991487,51.8314793072771,51.7280343003234,49.2243525503414,48.7593872688496,48.8505243712933,47.938469574384,48.3616270532542,47.9927806450793,47.9460887533664,47.8306288872481,48.0948581070874,46.5635008134013,46.3760494740773,46.062393272634,46.0396334174685,46.0576068653245,45.594790583033,45.6394311573275,45.7559655230459,45.6262441167809,45.4815773978967
573.3441817212,58.0800358231558,58.6549469881736,58.0639692821806,57.3072932740814,56.6147866434918,55.4464781126955,54.4281884885958,55.5541045799514,56.682827476658,53.6297975457958,54.1544765736681,54.5993068286213,55.2932652550822,54.5999843333612,54.2088705256446,53.3125317547305,52.9634232408888,52.3132122633485,51.0783146952572,51.2188485355949,51.4837528889036,51.4299396552757,50.127194826801,51.2637574212125,51.1717135629748,48.6718178590615,48.2337626515076,48.2996741840626,47.3872688721733,47.8117739849288,47.4410821058012,47.4174662262954,47.3135176419134,47.4847327683303,46.0144506963126,45.8409126965017,45.5405845239343,45.5093225195065,45.5097096650722,45.085978843448,45.0883985032334,45.2090911333306,45.0997225110292,44.961608330477
576.69764818355,58.1939107362617,58.7686227595915,58.1640980309015,57.4105097754109,56.7206822413841,55.552889721422,54.5324296679494,55.665023961583,56.7952140047844,53.720081531894,54.2621919193622,54.6886097760296,55.3660313778259,54.7014003883293,54.311046288146,53.413491516771,53.0562199025357,52.4257292691773,51.1848475360742,51.3089068583793,51.5703931353929,51.5411574501366,50.2190120524227,51.3829577716932,51.2707273615148,48.7296269946402,48.3341758835405,48.3944744843818,47.4861486710703,47.9010261256628,47.5777025275311,47.4901878117965,47.4007496957161,47.5795297578596,46.1186110251952,45.9409850032591,45.6339141380496,45.5924648605973,45.6153533247125,45.1908588683909,45.1984562997569,45.2958765272725,45.1923975886676,45.0603561549273
580.0510112256,58.7492919205842,59.3137543301449,58.7195631834174,57.9318475476491,57.2543200377023,56.1036261110426,55.063599805965,56.194730305586,57.3320942500968,54.2362778203584,54.8010279273756,55.245232800139,55.9190202431519,55.2493564636815,54.8531970661457,53.9443608012108,53.5777383425375,52.9317616536484,51.6840177850118,51.8232633539351,52.0822869638949,52.0462288826861,50.7019145678335,51.8902009621365,51.7990008684409,49.2391648000744,48.8103037916552,48.9101348090443,47.9767483611587,48.3921834882768,48.0594134303129,47.9738713865942,47.8881375445712,48.0681402531586,46.6147886023103,46.4204010209002,46.1107426586047,46.0797672324599,46.0853293832847,45.6413163088256,45.6730589281875,45.7840142472262,45.6687434663407,45.5129073440954
583.40425948125,57.978853826121,58.535898470462,57.9404104414184,57.173464916601,56.4702393019282,55.3291435354926,54.3093366477937,55.4290963357194,56.5533731213477,53.5321075175684,54.0479216318159,54.4792564081793,55.1614342697274,54.4989586428394,54.1296138243089,53.2084142183723,52.8513712829467,52.210904493801,50.9656271548212,51.1293959736544,51.3734153580543,51.3095993394479,50.0246292057627,51.1566907767932,51.0670215819744,48.5777163140177,48.1202400360565,48.1995295170056,47.277945477222,47.7063969997327,47.3746305897491,47.2387332248253,47.2237403047913,47.392026221327,45.945882197276,45.7510703452955,45.4563056930881,45.4269926122523,45.4273770460994,44.9996943912827,45.022856530566,45.1323240685067,45.018531649787,44.8606254471209
586.7573815844,54.775319341955,55.2996084405234,54.7209357182202,54.0096908170615,53.3643449332755,52.290316748519,51.3209915546541,52.3700535918598,53.4323728469509,50.5105594393883,50.9933350600523,51.4171789603347,52.0674600128226,51.4195981606787,51.042493211044,50.1881284175297,49.8530207858681,49.2360279301147,48.0658123396777,48.1993521986707,48.439820712872,48.3790504002288,47.1723532686031,48.2198670175885,48.1139060425179,45.7346708881249,45.3228262215492,45.3782742934355,44.5304897248571,44.9113686270286,44.5912600375003,44.5136520904623,44.4288833104058,44.6035495752482,43.2171542420645,43.0279727751576,42.766021761901,42.7277983964645,42.7159926987854,42.3149860497512,42.3226307228385,42.4537513814875,42.3304689319533,42.1993482733043
590.11036616895,52.0305090444472,52.520098680825,51.9790453856273,51.3004295347246,50.6813980340526,49.6377424282887,48.7474994024289,49.7113178492631,50.729045946306,47.931614514788,48.4056476459333,48.7760685818499,49.377195425556,48.7591423214395,48.4078001183554,47.5968072134921,47.2949718761168,46.667624004723,45.597160333338,45.7128068061995,45.9048660500463,45.8522283153598,44.7290290696328,45.7071321061775,45.599997683349,43.3053642417083,42.9188976022813,42.9503041317133,42.1600532338268,42.5187334110772,42.173946464915,42.1289402233615,42.0537993678982,42.2022221253693,40.8550679080858,40.7060581126814,40.4429672789044,40.397276159762,40.3888619493846,40.0063088961797,40.0175604565681,40.1237164828411,40.0078743306685,39.9034794181955
593.4632018688,52.1090215317027,52.5876319600573,52.0800509170511,51.3633258477241,50.7534547235335,49.7183505363397,48.8263135625969,49.7929597905111,50.8107014518007,48.0043219790734,48.4617997330416,48.8588558968631,49.4469990600649,48.8363342204044,48.4729117496203,47.6630243270129,47.3283740420129,46.7511444665223,45.6477807489164,45.7775532282464,45.9812404607115,45.9350065345894,44.799596554886,45.768227071475,45.6631589861459,43.3577131893643,42.9818889143628,43.0244519064367,42.2159534859016,42.5778877401797,42.2586156924092,42.1915467352019,42.104634891247,42.2783593647231,40.914061686385,40.7647439636085,40.4961704914784,40.4534090705371,40.4430907694283,40.074806791391,40.0915740306928,40.1795772334188,40.0692507831016,39.9508879636516
596.81587731785,53.7240074167102,54.2523869380987,53.7018910744908,52.9738613001575,52.3522915549625,51.2835695816214,50.3362864328308,51.3573577415718,52.403058613239,49.5341669120624,50.0266576417584,50.4253549746782,51.0339565010264,50.4170110819318,50.0632501352487,49.2118714886279,48.8764067886901,48.2824824712694,47.1301205128074,47.2525646256406,47.4716169424415,47.4338181030119,46.2399377384742,47.2793052939605,47.1710357459134,44.8241902499442,44.4162442648235,44.4955615103287,43.654637861848,44.0141289517424,43.6851986256422,43.6190506566403,43.5436540354376,43.7015848246502,42.3481652096477,42.1679170205591,41.8813093311606,41.8361718872673,41.854669191669,41.4543633974968,41.4713527694745,41.5677599157857,41.4686384911112,41.3215648153518
600.16838115,55.7350817883695,56.2753412426204,55.6963469701405,54.9583574228361,54.3094985174773,53.2150878024378,52.234042340749,53.2913406383231,54.3588803407168,51.4231461591341,51.9253805954901,52.3494355950541,53.0071163045646,52.3811738099904,52.0006194308981,51.1363868241826,50.7779376554932,50.1423621563857,48.9508101956307,49.1089942700735,49.3463717817855,49.2790421500996,48.0547379739311,49.1286658793312,49.0523116433982,46.6358471061884,46.1915120970804,46.3207971579231,45.3904517200942,45.7877371070602,45.4869845655234,45.3947105220984,45.3223108880265,45.4980371707249,44.1000347128124,43.8963220169434,43.6181816860481,43.5726530646219,43.5967862759792,43.1784096790875,43.2064974923058,43.3110409415049,43.1836824815689,43.0408098143317
603.52070199915,57.29897003609,57.8252983561426,57.2617549023489,56.5139760886612,55.8358222916704,54.6808240337773,53.6806161947963,54.790833604946,55.9095368835037,52.888772209014,53.4246087912587,53.8687366510699,54.5447434211141,53.8933763412667,53.50231071885,52.6364454230992,52.2676679851758,51.63419279655,50.4125344639338,50.5499441885163,50.7966478086187,50.7490042582798,49.4593567390213,50.5937026424756,50.4964729936081,48.048964513861,47.5991112488588,47.6889796624808,46.756454292007,47.2159180585797,46.8685086507439,46.7809917428253,46.7098331354522,46.8833333606133,45.4553559623666,45.2794019921237,44.9750353625983,44.9585748226744,44.9553031625653,44.5187410167563,44.5617837950668,44.6745538294525,44.5295783908678,44.4076068124251
606.8728284992,58.040830804386,58.5682603754715,57.9865608602563,57.2189403577374,56.5531533815608,55.3764448020947,54.3670857461616,55.4837465927694,56.6071138012943,53.5679969300314,54.1180217820379,54.5680702540792,55.242833437745,54.5817925023097,54.2094346537088,53.3040757948912,52.9412100277731,52.3205104386396,51.0876747686667,51.2337702836622,51.4790167802331,51.430937324027,50.112776095508,51.2779290975168,51.1798098639287,48.7154797963665,48.2633678283507,48.3596299155617,47.4445726256639,47.8859544146122,47.5112235456406,47.4563345527186,47.3659534290349,47.52989818421,46.1055700878023,45.9261491128184,45.6412834935369,45.5968151552861,45.6157993182517,45.171528634939,45.1741080049071,45.3083384180492,45.186179456358,45.0408061649536
610.22474928405,57.9671534599409,58.4994881688715,57.9329973988045,57.1451170373474,56.4543940083301,55.3267233191656,54.3004794700828,55.4219020992834,56.5744608939711,53.5239497508936,54.0584712808116,54.4845889703546,55.2143623741468,54.5809132281325,54.1751017334724,53.2706950536872,52.9119522774224,52.3004754756148,51.0374301538975,51.1830099510581,51.4361605139317,51.3932571688458,50.0778322777638,51.2481980433489,51.1622872188442,48.6712898455405,48.254335977278,48.3327491298259,47.3960608068935,47.8471707362924,47.5120664535579,47.4229274647386,47.356073223124,47.5196682598474,46.0933403044049,45.908501863804,45.6172381351501,45.570481819753,45.5915169549651,45.150612190174,45.1888294902869,45.3205594211941,45.1728969373788,45.0280460805474
613.5764529876,57.4320765483913,58.0257886256588,57.4411103839619,56.6822681960319,56.0025245916444,54.8876862554732,53.8354545006982,54.9685705972099,56.0820433535856,53.074826554574,53.6083480762374,54.0533170003891,54.7403086821529,54.1088855936082,53.7241072250606,52.7966684546794,52.451807034002,51.8595655811297,50.6100600681968,50.7531308129311,51.0160574458753,50.9689974652285,49.6590913074922,50.8094347183479,50.7284453320115,48.2723975474059,47.838563350818,47.9346791595051,47.0162742246945,47.4562010080626,47.1219490919506,47.0244677034679,46.9532474648997,47.1144909253748,45.7078386913535,45.5157121185788,45.223793176129,45.1728465452948,45.1978471600135,44.7663239446181,44.799202904311,44.926411914497,44.8096023196772,44.6351232396451
616.92792824375,57.0622340457673,57.6027607796065,57.0427097192996,56.2704377191266,55.6009867643187,54.4710163700013,53.4673174349042,54.5565414087673,55.6622125054701,52.6798716375307,53.2417265758264,53.6644706880398,54.3336033114379,53.7110531843405,53.3319204752695,52.4103510439006,52.0810902556983,51.4522796108748,50.2397552709494,50.3823677425394,50.6231323988176,50.5736849198288,49.2867771404803,50.4239630467532,50.3536118051876,47.9223026076107,47.4687864591167,47.5028479199652,46.661073561986,47.0787243716426,46.7487208101507,46.6827200978523,46.6031372454025,46.7411869667855,45.3756513292165,45.1796652912501,44.8905142606824,44.8333207173885,44.8623949861502,44.4322231410414,44.4692556950481,44.5710156357139,44.4549307816071,44.3168810602242
620.2791636864,56.5576052019755,57.1179251291761,56.5281937728466,55.7662874810325,55.0871410865118,53.9885061334663,53.0002177101453,54.0769551028175,55.1915838622141,52.2094366941134,52.7372323037006,53.1552180884743,53.8494995614884,53.24484780863,52.8516577907496,51.9657726644687,51.6037115314328,50.9907945229433,49.7758019451687,49.9239325006355,50.173285602338,50.1271289799824,48.84268678671,49.9621458903067,49.8967752321333,47.4585248209531,47.0248672527749,47.0998985993483,46.2116519714585,46.6515353166056,46.3003156227741,46.2490066332719,46.1685008966051,46.3216764782364,44.9345089649772,44.7497751345726,44.4688637840967,44.4419211975589,44.4655362136479,44.0245794586785,44.0543129107541,44.1611171880653,44.0243647767141,43.9136962240429
623.63014794945,55.5347599912108,56.0614902496918,55.5049532810035,54.771969290577,54.0954439957621,53.0074990731953,52.0392161259133,53.097136771045,54.197374241982,51.2632626079981,51.7942354274211,52.1982577694282,52.8627080831007,52.2362232506776,51.8827852891318,51.0065332792052,50.6396061495364,50.065446235397,48.8634960854679,49.0018688423427,49.2506569673213,49.1940894880957,47.9452536005777,49.0445120189897,48.9547655375261,46.5738185801997,46.1578300406641,46.2084144211254,45.3571826423947,45.7736063163859,45.4176663317205,45.3813326046795,45.2723314235564,45.4373561658356,44.055042784068,43.8893653401055,43.6183853578923,43.5577928849526,43.5797671749595,43.1544232446289,43.1825982006278,43.3104189469547,43.1933677784034,43.0400916664249
626.9808696668,54.0604937371833,54.5860696185171,54.0441247913842,53.3088494422454,52.6688015413028,51.6005066259401,50.6658177006135,51.6916418376866,52.7584989402426,49.8848641446163,50.3928544693146,50.7857091684935,51.4532967147332,50.8442170896268,50.4609846761542,49.6059284601206,49.282641780588,48.6929173278792,47.532602392889,47.6354613090591,47.9043323039082,47.8647371512319,46.6448082852571,47.7126607966793,47.6094700775538,45.2663882075922,44.885257212837,44.9287233999928,44.0772064154833,44.4627614496436,44.156617922806,44.0937965632526,44.0227907307997,44.1706642479174,42.8289636973154,42.650564308302,42.3690848011483,42.3154433233606,42.3537112642153,41.9371879542188,41.9558795207057,42.0599550477122,41.9568749295718,41.8149738656511
630.33131747235,53.1810141405209,53.6839006466503,53.1622379012007,52.4469310490275,51.81475995529,50.7812750235527,49.8253834663553,50.8724415831434,51.8942761977121,49.0613262578749,49.5604801381154,49.956138482344,50.573718402152,49.9874699178361,49.6138679993149,48.7943869518773,48.4719106970472,47.8932405743846,46.7371445376891,46.8626964994083,47.0826952071055,47.058489693765,45.8617872117927,46.9009276373012,46.8157559011079,44.4989263228245,44.0989698033298,44.1719256729774,43.3214525196741,43.7198255009129,43.4128452990156,43.3241671566842,43.2556225721781,43.402778520103,42.0774701097751,41.9092757250215,41.635662936374,41.5930205133397,41.605688819387,41.2041487616364,41.2314082416133,41.3480245231741,41.2344622082497,41.0873062603247
633.68148,53.4092511098285,53.9237580596785,53.3774139589119,52.6635181368978,52.0141099745872,50.973360482761,50.0269605038702,51.0419149318151,52.0832453935485,49.2838999925128,49.7715661326484,50.1675552214218,50.7915169017955,50.1976494626168,49.8180437252275,48.9804013129717,48.6595897301948,48.0609583377768,46.9193524700541,47.0399618227967,47.2805995583747,47.2431850963486,46.0368591809595,47.0834183718581,46.9812838621657,44.6849422068167,44.2552568634234,44.3532083897838,43.4962777766077,43.899238504268,43.5671561052907,43.519981348823,43.4265613877391,43.5860957242667,42.2602062019681,42.0895172432216,41.8063525104338,41.7604558877619,41.7734696136841,41.3839873878717,41.4098986457345,41.5045967406143,41.3963039499052,41.2702334800345
637.03134588365,54.0522777728491,54.5733927811183,54.0302655686431,53.2952493586326,52.6438555982962,51.5787759567396,50.6388309108327,51.6601254070663,52.7344166775569,49.8651737119171,50.3694206723979,50.7749716085853,51.4281598420907,50.8317965922694,50.5507820940085,49.6086836802988,49.2439271008193,48.6663460034999,47.4952728134295,47.6431374025527,47.893047699218,47.8286859282243,46.6082049102349,47.6684992900075,47.5934903115445,45.2593592448918,44.8298819997848,44.8855106680229,44.050602118273,44.4697910505446,44.1192706248723,44.0814670567793,43.9831299271197,44.1538441412611,42.8102622638803,42.6151432146409,42.3494415540886,42.3000337261696,42.3241992981784,41.9361145675023,41.9563322985394,42.051678639584,41.9358753044131,41.7996149751159
640.3809037572,54.2086884709974,54.6908207152744,54.1793112374751,53.4542613647452,52.8088262635356,51.7010083187363,50.7289675036617,51.8182703853168,52.873382117032,50.0062628722634,50.5020962632672,50.907205844864,51.5589360675426,50.9658368781542,50.5981277241088,49.7438427106318,49.3985984998682,48.8071039492857,47.6388034648817,47.7891457776133,48.0225590069855,47.9761479153705,46.7413166374014,47.8219791562558,47.7134808862303,45.3718191334963,44.9864589525867,45.0127503422516,44.2001859377264,44.5971488915397,44.2310443763002,44.2031483478295,44.0972421866442,44.2889348070646,42.9315338110805,42.7391005881342,42.4871722956178,42.4295287323619,42.4522405431522,42.0451560214867,42.0660163259626,42.1710584508678,42.058239999442,41.9243143760317
643.73014225455,52.9966053441011,53.4803051113337,52.9662945108727,52.2434193453087,51.6164435806731,50.5628237348819,49.6470035594819,50.6631806112851,51.6670040882012,48.8806998471495,49.3785361794591,49.7758882789235,50.3566336550637,49.8042887655198,49.4386484201473,48.5984779713761,48.2766482420984,47.6984499948009,46.5480392529863,46.6687731601312,46.9164814400857,46.8708878338011,45.6541243856336,46.7164044694901,46.6182126526032,44.3213392186802,43.9283172382485,43.9760759040495,43.1583201890942,43.5197577718762,43.2062062113373,43.1522070798716,43.0887835716879,43.2177956475717,41.8951989959892,41.747083453785,41.4779792915516,41.4001645054065,41.446522250344,41.0196234563041,41.0503163588589,41.1426497794075,41.0514625668381,40.9109884111621
647.0790500096,50.8785414864441,51.3698627980982,50.863843840369,50.1544199592787,49.5650705974628,48.5502768733653,47.6420410833124,48.630064094916,49.6242548687118,46.892592362464,47.3654103875414,47.7394129885601,48.3283686634275,47.7686770517276,47.4108156155949,46.6017889365491,46.2985187572668,45.7216361488183,44.6260053713076,44.76930742054,44.9584083847744,44.9208768956897,43.7970318868741,44.7853173564433,44.684139810694,42.4284448251111,42.0518176444361,42.1246497298976,41.3363572301364,41.6946123532175,41.3715265975304,41.3111612654362,41.2292743801605,41.392916921729,40.1033297076198,39.9436240355357,39.6805099249944,39.6145017466392,39.6622690963834,39.2507350062799,39.2965339212819,39.3845885687498,39.2764558869114,39.1576936574651
650.42761565625,49.3779912804147,49.8625379108092,49.33849166677,48.6924294929106,48.092224747221,47.128948210359,46.2487290802705,47.1941496274026,48.1386232659885,45.5029709637532,45.9635743351919,46.327187216962,46.8636785447522,46.3549181101029,45.9933343180748,45.2080765879129,44.9003313103731,44.325152004835,43.2712427928295,43.3897416337635,43.6114535062416,43.5532862669703,42.4727283430196,43.4159845277603,43.3165591304013,41.139886927811,40.7686987776707,40.8316005596734,40.0555413696752,40.3761375489145,40.0942293474231,40.0393086517391,39.9914221338274,40.1089740662151,38.8380875244629,38.6807654331315,38.4338928478524,38.3926346897646,38.4053503188146,38.0347032592722,38.0551294293419,38.1507671925158,38.0246930832115,37.9144458738951
653.7758278284,48.8616798754711,49.3057958962014,48.7908666493157,48.1778025378368,47.6019571889238,46.5892444172335,45.7499404119551,46.6815246450186,47.6497700561902,44.9990135432564,45.4686390529363,45.8257718982317,46.3936716686193,45.8443115814574,45.5168701085461,44.7252395744195,44.4306955845252,43.8655837364271,42.8196946894907,42.9468239458956,43.1552211370418,43.1053173280583,42.0194215962665,42.9563028816802,42.881447168205,40.7337712324261,40.3387226439924,40.378450536619,39.6213902388832,39.9919051111685,39.6512210073817,39.6197174855094,39.5477890904383,39.7140886550118,38.4621721508753,38.3050727298574,38.0456565608119,37.9981224857746,38.0212622407781,37.6593899275904,37.6779296108162,37.7840100539347,37.6465654850584,37.5555398223035
657.12367515995,49.5306189906222,49.9927963673898,49.5040769689851,48.8203314115947,48.3023292393186,47.2283871138395,46.3598571558127,47.3264771938027,48.3154560000196,45.6295188104399,46.0973219417936,46.4591012367166,47.0571622242568,46.4912690129398,46.1680044994142,45.3669835964208,45.0414110810137,44.5007616402755,43.4599970418428,43.5733776342708,43.8098035770055,43.7218110052739,42.6188746061586,43.6039586592005,43.5057243291197,41.3274033033494,40.9471599933745,41.0064467917052,40.2463929221082,40.6064412156201,40.2772624472731,40.2342759122304,40.1494568430858,40.2955822122074,39.0494054463224,38.8842390616785,38.6365616097715,38.6133373408391,38.6191073455428,38.242037538155,38.2716088122615,38.3761901475164,38.2391525358031,38.1345712005483
660.4711462848,51.4551606104613,51.9411968321632,51.4330816169647,50.7205865295341,50.1231110636298,49.093006671103,48.1813530950377,49.1568567333769,50.1796511888677,47.4609513410172,47.9501203928774,48.3296403891972,48.9320388739218,48.3602227788378,47.9909963673238,47.1786982619932,46.8769022900769,46.296284434072,45.2011365201634,45.3452467074452,45.5360509823245,45.5041259511875,44.3500509938252,45.3661322418338,45.2430567713292,43.0466444655838,42.6587702555086,42.6824902552786,41.9125599482792,42.276863340973,41.9498555454018,41.9053991936317,41.8257357981778,41.9473194447975,40.6853856205565,40.5279982006991,40.2664814736753,40.2236661281785,40.2296334237181,39.839670660204,39.8621972008661,39.9596133005504,39.8527987103912,39.7473267617284
663.81822983685,52.9150591994665,53.4260342212588,52.8951112256427,52.1622533565496,51.5477023168264,50.4853959877367,49.6664549392966,50.575929099706,51.608620359965,48.8011732132044,49.3347047900128,49.7140231845685,50.3253518592895,49.7537656862635,49.393321143864,48.5605699596998,48.2418627163776,47.6280789064169,46.4740118977381,46.6360508235678,46.8599284682509,46.8409011701422,45.6400331459539,46.6658193383509,46.5999910247326,44.2966138319023,43.8755581382692,43.9469105061771,43.1604999996649,43.4882605541839,43.2126716235116,43.1365624310764,43.0739564824604,43.1852047980158,41.9093017030598,41.7529402774723,41.4508051970191,41.4150522900889,41.4598585082161,41.0532267341171,41.0819211272327,41.1821213342088,41.0473957879224,40.9444335538015
667.16491445,53.3336713819455,53.8660601000041,53.3047235320274,52.6099751339935,51.957232583395,50.9162112632432,49.9604602401327,51.0231924477231,52.0621685393481,49.2318869087705,49.7364290538101,50.1225052695654,50.77477584435,50.2113940478465,49.8163502916274,48.939891205249,48.627285891188,48.043294484145,46.8940333773429,47.037514024763,47.2613878858142,47.2107291484576,46.004988269261,47.087858111577,47.0062062957755,44.7125611655815,44.2893561858009,44.3568487271859,43.5080788885553,43.9375768791876,43.5842243198615,43.5288458243661,43.4589934039116,43.5928772097827,42.3130361278067,42.1244031275253,41.8202933781141,41.7893002996692,41.8040888751708,41.4211591648415,41.4505789905734,41.5731353769114,41.412348949649,41.2954562730776
670.51118875815,53.2627307894358,53.7662546912475,53.2099990398208,52.5260939701187,51.8793261996882,50.798164565051,49.8562276107998,50.8930174073463,51.9489385398812,49.1464389688781,49.6244008335289,50.0420748746868,50.6883603425294,50.118439451111,49.7523717868629,48.8769925897477,48.5488660624177,47.966566071242,46.8326726869898,46.9619297805584,47.2022772368829,47.1534039079714,45.9502197185849,46.9989063123006,46.9154679645866,44.6584526205462,44.2346694132743,44.312320129933,43.4652360179771,43.8549365090344,43.5170031624162,43.4719882542083,43.3803507624993,43.5287391920562,42.2440458653073,42.0628608597704,41.7868230119381,41.7435765465526,41.7615825098358,41.3615928969023,41.4032316869947,41.4966376215262,41.3468022842055,41.253396349674
673.8570413952,52.9961724930749,53.500738699048,52.9601086316993,52.2480112961738,51.6298439268675,50.5362892939738,49.6407580453606,50.6418580518187,51.7067255222546,48.8727617247029,49.4014251471407,49.7918984098529,50.462686231439,49.8432074489918,49.4994532794253,48.633428826483,48.3165586263056,47.749372442853,46.599099191614,46.7338468918446,46.9907199408245,46.9467876006033,45.7347140050979,46.7863034174819,46.6894227716956,44.4116620725413,44.0061075587084,44.0557773314212,43.2274560062807,43.6661237019221,43.3304019378438,43.2697490800757,43.164508175516,43.318763146218,42.0412828203087,41.8565374940801,41.5691740895736,41.5398312205452,41.5611416840854,41.1503415176888,41.1898478385593,41.2998426157549,41.1854218192087,41.0606736441776
677.20246099505,52.5945059818538,53.0928511140427,52.5698222202862,51.8273079871854,51.2464056794833,50.1818350707946,49.2526915863822,50.2652261571716,51.3126182020666,48.5403649265499,49.0031854559422,49.4334834616475,50.0409041348175,49.4766800443908,49.1089253534682,48.2608380050142,47.9444522232999,47.3884004593381,46.2300982695617,46.3551848991272,46.5955180100657,46.5778390997538,45.35065587263,46.432571827285,46.3430098005161,44.0826110131814,43.6759960760072,43.7565518654474,42.9138015465215,43.3030711377293,42.9705074852578,42.9208063977771,42.8437530339648,42.9616680301019,41.6889532698162,41.5430188686565,41.262658036257,41.2057853153479,41.2184607604772,40.8275233475419,40.8677178511756,40.9706224517648,40.8482043369634,40.7122768661689
